F	x	x		x	FRONTMATTER	
T	1	eqfr5mst-00320.dita		Exporting a markup table	Working with markup tables	
T	1	eqfr5mst-00321.dita		Importing a markup table	Working with markup tables	
T	1	eqfr5mst-00322.dita		Changing the properties of a markup table	Working with markup tables	
C	0	x		x	Working with language-support files	eqfr5mst-00323.dita
T	1	eqfr5mst-00324.dita		Overview and terminology	Working with language-support files	
T	1	eqfr5mst-00325.dita		What you can do with language-support files	Working with language-support files	
T	1	eqfr5mst-00326.dita		Deleting language-support files	Working with language-support files	
T	1	eqfr5mst-00327.dita		Extending language-support files	Working with language-support files	
T	1	eqfr5mst-00329.dita		What you can do for other languages	Working with language-support files	
C	0	x		x	Working with the samples	eqfr5mst-00330.dita
T	1	eqfr5mst-00331.dita		Overview and terminology	Working with the samples	
T	1	eqfr5mst-00332.dita		What you can do with the samples	Working with the samples	
T	1	eqfr5mst-00333.dita		Deleting a sample folder	Working with the samples	
T	1	eqfr5mst-00334.dita		Importing and opening a sample folder and its documents	Working with the samples	
T	1	eqfr5mst-00335.dita		Translation exercise with a sample document	Working with the samples	
C	0	x		x	Creating reports	eqfr5mst-00336.dita
T	1	eqfr5mst-00337.dita		Overview and terminology	Creating reports	
T	1	eqfr5mst-00338.dita		Creating a History Report	Creating reports	
T	1	eqfr5mst-00339.dita		Creating a Counting Report	Creating reports	
T	1	eqfr5mst-00340.dita		Creating a Calculating Report	Creating reports	
T	1	eqfr5mst-00341.dita		Creating a Preanalysis Report	Creating reports	
T	1	eqfr5mst-00342.dita		Creating a Redundancy Report	Creating reports	
T	1	eqfr5mst-00343.dita		Creating a Redundant Segment List	Creating reports	
T	1	eqfr5mst-00344.dita		Changing the layout of a report	Creating reports	
T	2	eqfr5mst-00345.dita		The report layout	Creating reports	
T	2	eqfr5mst-00346.dita		Changing the layout	Creating reports	
T	1	eqfr5mst-00347.dita		Setting the factors for cost calculation	Creating reports	
C	0	x		x	Working from the command area (OTMBATCH)	eqfr5mst-00370.dita
T	1	eqfr5mst-00371.dita		How to read syntax diagrams	Working from the command area (OTMBATCH)	
T	1	eqfr5mst-00372.dita		Analyzing a document or folder	Working from the command area (OTMBATCH)	
T	1	eqfr5mst-00373.dita		Archiving a Translation Memory	Working from the command area (OTMBATCH)	
T	1	eqfr5mst-00374.dita		Changing the properties of a folder	Working from the command area (OTMBATCH)	
T	1	eqfr5mst-00375.dita		Creating reports	Working from the command area (OTMBATCH)	
T	1	eqfr5mst-00376.dita		Counting words	Working from the command area (OTMBATCH)	
T	1	eqfr5mst-00377.dita		Exporting a dictionary	Working from the command area (OTMBATCH)	
T	1	eqfr5mst-00378.dita		Importing a dictionary	Working from the command area (OTMBATCH)	
T	1	eqfr5mst-00379.dita		Deleting documents	Working from the command area (OTMBATCH)	
T	1	eqfr5mst-00380.dita		Removing documents based on a list	Working from the command area (OTMBATCH)	
T	1	eqfr5mst-00381.dita		Restoring documents	Working from the command area (OTMBATCH)	
T	1	eqfr5mst-00382.dita		Exporting documents	Working from the command area (OTMBATCH)	
T	1	eqfr5mst-00383.dita		Importing documents	Working from the command area (OTMBATCH)	
T	1	eqfr5mst-00384.dita		Creating a folder	Working from the command area (OTMBATCH)	
T	1	eqfr5mst-00385.dita		Deleting a folder	Working from the command area (OTMBATCH)	
T	1	eqfr5mst-00386.dita		Exporting a folder	Working from the command area (OTMBATCH)	
T	1	eqfr5mst-00387.dita		Importing a folder	Working from the command area (OTMBATCH)	
T	1	eqfr5mst-00388.dita		Creating a Translation Memory	Working from the command area (OTMBATCH)	
T	1	eqfr5mst-00389.dita		Deleting a Translation Memory	Working from the command area (OTMBATCH)	
T	1	eqfr5mst-00390.dita		Exporting a Translation Memory	Working from the command area (OTMBATCH)	
T	1	eqfr5mst-00391.dita		Importing a Translation Memory	Working from the command area (OTMBATCH)	
T	1	eqfr5mst-00392.dita		Opening a document	Working from the command area (OTMBATCH)	
T	1	eqfr5mst-00393.dita		Organizing a Translation Memory	Working from the command area (OTMBATCH)	
T	1	eqfr5mst-00394.dita		"Renaming a folder, a dictionary or a Translation Memory"	Working from the command area (OTMBATCH)	
T	1	eqfr5mst-00395.dita		Performing several tasks in one step	Working from the command area (OTMBATCH)	
C	0	x		x	Working from the command area (Other Tools)	eqfr5mst-00396.dita
T	1	eqfr5mst-00397.dita		How to read syntax diagrams	Working from the command area (Other Tools)	
T	1	eqfr5mst-00398.dita		Converting a NLV memory to a source/source memory	Working from the command area (Other Tools)	
T	1	eqfr5mst-00399.dita		Creating an Initial Translation Memory from the command line	Working from the command area (Other Tools)	
T	1	eqfr5mst-00400.dita		Revising an Initial Translation Memory	Working from the command area (Other Tools)	
T	1	eqfr5mst-00401.dita		Reversing a Translation Memory	Working from the command area (Other Tools)	
T	1	eqfr5mst-00402.dita		Changing m-flagged segments	Working from the command area (Other Tools)	
T	1	eqfr5mst-00403.dita		Specifying the quality of m-flagged segments	Working from the command area (Other Tools)	
T	1	eqfr5mst-00404.dita		"Changing the markup, target language and date of segments"	Working from the command area (Other Tools)	
T	1	eqfr5mst-00405.dita		Removing segments with identical source and target strings	Working from the command area (Other Tools)	
T	1	eqfr5mst-00406.dita		Removing inline tagging from an external memory	Working from the command area (Other Tools)	
T	1	eqfr5mst-00407.dita		Showing the contents of exported folders	Working from the command area (Other Tools)	
T	1	eqfr5mst-00408.dita		Restoring vital OpenTM2 property files	Working from the command area (Other Tools)	
T	1	eqfr5mst-00409.dita		Checking the folder history data	Working from the command area (Other Tools)	
T	1	eqfr5mst-00410.dita		Correcting the drive letter information of Translation Manager files	Working from the command area (Other Tools)	
T	1	eqfr5mst-00411.dita		Converting SGML memory databases into TMX format	Working from the command area (Other Tools)	
T	1	eqfr5mst-00412.dita		Converting external Memory databases from the TMX format into the EXP format	Working from the command area (Other Tools)	
T	1	eqfr5mst-00413.dita		Changing the type of an exported folder	Working from the command area (Other Tools)	
C	0	x		x	Machine Translation (MT) Support	eqfr5mst-00414.dita
T	1	eqfr5mst-00415.dita		WebSphere Translation Server Access From OpenTM2	Machine Translation (MT) Support	
T	2	eqfr5mst-00417.dita		Invocation and User Interface	Machine Translation (MT) Support	
T	2	eqfr5mst-00419.dita		Subject Area Selection	Machine Translation (MT) Support	
T	2	eqfr5mst-00420.dita		Pre-requisites	Machine Translation (MT) Support	
T	2	eqfr5mst-00421.dita		Display of MT Job Info in Folder Properties Summary	Machine Translation (MT) Support	
T	2	eqfr5mst-00422.dita		MTI Installation Instructions	Machine Translation (MT) Support	
T	1	eqfr5mst-00415.dita		Machine Translation Evaluation in OpenTM2	Machine Translation (MT) Support	
T	2	eqfr5mst-00423.dita		The OtmMtEval tool	Machine Translation (MT) Support	
T	2	eqfr5mst07.dita		Usage of the OtmMtEval tool	Machine Translation (MT) Support	
T	2	eqfr5mst08.dita		Output created by the OtmMtEval tool	Machine Translation (MT) Support	
T	2	eqfr5mst-00415A.dita		Preparing for MT-processing	Machine Translation (MT) Support	
T	2	eqfr5mst-00415B.dita		The OtmMtEval tool	Machine Translation (MT) Support	
T	2	eqfr5mst-00415C.dita		Usage of the OtmMtEval tool	Machine Translation (MT) Support	
T	2	eqfr5mst-00415D.dita		Output created by the OtmMtEval tool	Machine Translation (MT) Support	
C	0	x		x	Working with Plug-Ins	eqfr5mst-00416.dita
T	1	eqfr5mst-00416A.dita		The Plugin Manager	Working with Plug-Ins	
T	1	eqfr5mst-00416B.dita		The Plugin Auto Version Upgrade	Working with Plug-Ins	
T	1	eqfr5mst-00416C.dita		The Plugin Profile Settings Management	Working with Plug-Ins	
T	1	eqfr5mst-00416D.dita		The Plugin GUI for Command Line Tools	Working with Plug-Ins	
T	1	eqfr5mst-00416E.dita		The Plugin Remove Temporary Files	Working with Plug-Ins	
T	1	eqfr5mst-00584.dita		Editor functions inside the Translation window	Working with Plug-Ins	
T	2	eqfr5mst-00585.dita		Cursor movement in window	Working with Plug-Ins	
T	2	eqfr5mst-00586.dita		Scrolling	Working with Plug-Ins	
T	2	eqfr5mst-00587.dita		Editing	Working with Plug-Ins	
T	2	eqfr5mst-00588.dita		Modes of editing	Working with Plug-Ins	
T	2	eqfr5mst-00589.dita		Changing the presentation of control tags	Working with Plug-Ins	
T	2	eqfr5mst-00590.dita		Document overall functions	Working with Plug-Ins	
T	2	eqfr5mst-00591.dita		Switching to other windows	Working with Plug-Ins	
T	1	eqfr5mst-00592.dita		Editor functions outside the Translation window	Working with Plug-Ins	
T	2	eqfr5mst-00593.dita		Using the clipboard	Working with Plug-Ins	
T	2	eqfr5mst-00594.dita		Switching to other windows	Working with Plug-Ins	
T	2	eqfr5mst-00595.dita		Functions in the Translation Memory window	Working with Plug-Ins	
T	2	eqfr5mst-00596.dita		Functions in the Dictionary window	Working with Plug-Ins	
T	1	eqfr5mst-00598.dita		Sample format files	Working with Plug-Ins	
T	2	eqfr5mst-00599.dita		FORMAT1.FRM	Working with Plug-Ins	
T	2	eqfr5mst-00600.dita		FORMAT2.FRM	Working with Plug-Ins	
T	2	eqfr5mst-00601.dita		FORMAT3.FRM	Working with Plug-Ins	
T	2	eqfr5mst-00602.dita		FORMAT4.FRM	Working with Plug-Ins	
T	1	eqfr5mst-00603.dita		Defining your own format file	Working with Plug-Ins	
T	1	eqfr5mst-00604.dita		Tags for defining the format of a dictionary printout	Working with Plug-Ins	
T	2	eqfr5mst-00605.dita		The<set..> attributes	Working with Plug-Ins	
T	2	eqfr5mst-00606.dita		The<repeat..> attributes	Working with Plug-Ins	
T	2	eqfr5mst-00607.dita		The<var..> attributes	Working with Plug-Ins	
T	1	eqfr5mst-00609.dita		Markup data that can be changed	Working with Plug-Ins	
T	1	eqfr5mst-00610.dita		Markup data that must not be changed	Working with Plug-Ins	
T	1	eqfr5mst-00611.dita		Markup data outside translatable segments	Working with Plug-Ins	
T	1	eqfr5mst-00613.dita		Untranslated segments file	Working with Plug-Ins	
T	1	eqfr5mst-00619.dita		About Microsoft Word documents	Working with Plug-Ins	
T	2	eqfr5mst-00620.dita		Disk space consumption with .doc files	Working with Plug-Ins	
T	2	eqfr5mst-00621.dita		Problem: Word files with embedded picture data cannot be exported	Working with Plug-Ins	
T	2	eqfr5mst-00622.dita		Automatic font conversion for translated RTF documents	Working with Plug-Ins	
T	2	eqfr5mst-00623.dita		Translating TOC and index sections in Word documents	Working with Plug-Ins	
T	2	eqfr5mst-00624.dita		EQFRTF/EQFMSWRD markup table and third-party program limitations	Working with Plug-Ins	
T	1	eqfr5mst-00625.dita		About bidirectional language processing	Working with Plug-Ins	
T	2	eqfr5mst-00626.dita		Windows Help/RTF – Table columns not in reverse order	Working with Plug-Ins	
T	1	eqfr5mst-00628.dita		Problems when starting OpenTM2	Working with Plug-Ins	
T	1	eqfr5mst-00630.dita		"Colors, fonts and key assignment"	Working with Plug-Ins	
T	2	eqfr5mst-00631.dita		Set colors	Working with Plug-Ins	
T	2	eqfr5mst-00632.dita		Set fonts	Working with Plug-Ins	
T	2	eqfr5mst-00633.dita		Assign keys	Working with Plug-Ins	
T	1	eqfr5mst-00634.dita		Keyboard shortcuts	Working with Plug-Ins	
T	2	eqfr5mst-00635.dita		Opening menus	Working with Plug-Ins	
T	2	eqfr5mst-00636.dita		"Navigating in windows (Folder List window, Document List window, Translation Memory List window or Dictionary List window)"	Working with Plug-Ins	
T	2	eqfr5mst-00637.dita		Default keyboard shortcuts in Translation window	Working with Plug-Ins	
T	2	eqfr5mst-00638.dita		Help	Working with Plug-Ins	
T	2	eqfr5mst-00639.dita		Special accessibility keyboard shortcuts	Working with Plug-Ins	
T	1	eqfr5mst-00640.dita		Menu bar choices	Working with Plug-Ins	
T	1	eqfr5mst-00641.dita		File Menu 1	Working with Plug-Ins	
T	1	eqfr5mst-00642.dita		File Menu 2	Working with Plug-Ins	
T	1	eqfr5mst-00643.dita		View Menu	Working with Plug-Ins	
T	1	eqfr5mst-00644.dita		Utilities Menu	Working with Plug-Ins	
T	1	eqfr5mst-00645.dita		Window Menu	Working with Plug-Ins	
T	1	eqfr5mst-00646.dita		Help Menu	Working with Plug-Ins	
T	1	eqfr5mst-00647.dita		Edit Menu	Working with Plug-Ins	
T	1	eqfr5mst-00648.dita		Options Menu	Working with Plug-Ins	
T	1	eqfr5mst-00649.dita		Cursor Menu	Working with Plug-Ins	
T	1	eqfr5mst-00650.dita		Translation Menu	Working with Plug-Ins	
T	1	eqfr5mst-00651.dita		Spellcheck Menu	Working with Plug-Ins	
T	1	eqfr5mst-00652.dita		Style Menu	Working with Plug-Ins	
T	1	eqfr5mst-00654.dita		Trademarks	Working with Plug-Ins	
